Fighters
aaron phillips
abdul razak alhassan
abdul-kerim edilov
abel trujillo
abner lloveras
abu azaitar
adam antolin
adam milstead
adam wieczorek
adam yandiev
adriano martins
aiemann zahabi
aisling daly
akbarh arreola
akira corassani
al iaquinta
alan jouban
alan omer
alan patrick
albert cheng
albert morales
albert tumenov
alberto mina
alberto uda
alejandro perez
aleksandar rakic
aleksei kunchenko
aleksei oleinik
alessandro ricci
alessio di chirico
alex caceres
alex chambers
alex garcia
alex morono
alex nicholson
alex oliveira
alex perez
alex reyes
alex torres
alex white
alexa grasso
alexander gustafsson
alexander hernandez
alexander volkanovski
alexander volkov
alexander yakovlev
alexandra albu
alexandre pantoja
alexis davis
alexis dufresne
alfred khashakyan
ali bagautinov
alistair overeem
aljamain sterling
allan zuniga
allen crowder
alonzo menifield
alptekin ozkilic
alvaro herrera
amanda cooper
amanda lemos
amanda nunes
amir sadollah
an ying wang
anderson silva
andre ewell
andre fili
andre soukhamthath
andrea lee
andreas stahl
andrei arlovski
andrew craig
andrew holbrook
andrew sanchez
andy enz
andy ogle
angel de anda
angela hill
angela magana
anna elmose
anthony birchak
anthony christodoulou
anthony hamilton
anthony johnson
anthony lapsley
anthony njokuani
anthony perosh
anthony pettis
anthony smith
anton berzin
anton zafir
antonio braga neto
antonio carlos junior
antonio dos santos
antonio silva
ariel beck
arjan bhullar
arnold allen
artem lobov
ashkan mokhtarian
ashlee evans-smith
ashley yoder
aspen ladd
augusto mendes
augusto montano
augusto sakai
austin arnett
azunna anyanwu
barb honchak
bartosz fabinski
bec rawlings
belal muhammad
ben nguyen
ben rothwell
ben saunders
ben wall
beneil dariush
benito lopez
benson henderson
bentley syler
bethe correia
bevon lewis
bharat kandare
bigfoot silva
bj penn
blagoy ivanov
bobby green
bobby nash
bobby voelker
bojan mihajlovic
bojan velickovic
boston salmon
brad katona
brad pickett
brad tavares
bradley scott
brandon davis
brandon moreno
brandon thatch
brendan o'reilly
brendan schaub
brett johns
brian camozzi
brian ebersole
brian houston
brian kelleher
brian ortega
bruno korea
bruno santos
bryan barberena
bryan caraway
bryce mitchell
bubba bush
bubba mcdaniel
cain carrizosa
cain velasquez
caio magalhaes
calvin kattar
carla esparza
carlo pedersoli
carlos candelario
carlos condit
carlos diego ferreira
carls john de tomas
casey kenney
cat zingano
cathal pendred
cb dollaway
cesar arzamendia
cezar ferreira
chad laprise
chad mendes
chan sung jung
chance rencountre
chanmi jeon
charles byrd
charles oliveira
charles rosa
charlie brenneman
charlie ward
chas skelly
chase sherman
chase waldon
cheyden leialoha
chico camus
chris avila
chris beal
chris camozzi
chris cariaso
chris clements
chris de la rocha
chris dempsey
chris gruetzemacher
chris heatherly
chris holdsworth
chris indich
chris kelades
chris wade
chris weidman
christian colombo
christina marks
christos giagos
cindy dandois
cj hamilton
claudia gadelha
claudio puelles
claudio silva
clay collard
clay guida
clint hester
cm punk
cody donovan
cody east
cody garbrandt
cody gibson
cody pfister
cody stamann
colby covington
cole miller
colton smith
conor mcgregor
corey anderson
cortney casey
cory hendricks
cory sandhagen
costas philippou
court mcgee
craig white
cris cyborg
cristiano marcello
cristina stanciu
cub swanson
cung le
curtis blaydes
curtis millender
cynthia calvillo
cyril asker
cyrille diabate
daichi abe
damian grabowski
damian stasiak
damien brown
damir hadzovic
damon jackson
dan henderson
dan hooker
dan ige
dan miller
dan moret
daniel cormier
daniel jolly
daniel kelly
daniel omielanczuk
daniel pineda
daniel sarafian
daniel spitz
daniel spohn
daniel teymur
danielle taylor
danny castillo
danny henry
danny martinez
danny mitchell
danny roberts
darko stosic
daron cruickshank
darrell horcher
darrell montague
darren elkins
darren stewart
darren till
dashon johnson
dave galera
davey grant
davi ramos
david branch
david michaud
david teymur
david zawada
deiveson figueiredo
demetrious johnson
demian maia
dennis bermudez
dennis siver
derek brunson
derrick lewis
desmond green
devin clark
devin powell
dhiego lima
diego brandao
diego ferreira
diego rivas
diego sanchez
dileno lopes
dmitrii smoliakov
dmitry sosnovskiy
dominic waters
dominick cruz
dominick reyes
dominique steele
don'tale mayes
donald cerrone
donavon frelow
dong hyun kim
dongi yang
dooho choi
douglas silva de andrade
drakkar klose
drew dober
dustin kimura
dustin ortiz
dustin poirier
dylan andrews
ed herman
eddie alvarez
eddie gordon
eddie wineland
edgar garcia
edson barboza
efrain escudero
elias garcia
elias silverio
elias theodorou
elias urbina
elizabeth phillips
elizeu zaleski dos santos
elvis mutapcic
emil meek
emily peters kagan
emily whitmire
enrique barzola
enrique marin
eric shelton
eric spicely
erick montano
erick silva
ericka almeida
erik koch
erik perez
ernest chavez
eryk anders
estevan payan
evan dunham
everett sims
fabio maldonado
fabricio camoes
fabricio werdum
felice herrig
felipe arantes
felipe olivieri
felipe silva
fernando bruno
filip pejic
francimar barroso
francis carmont
francis ngannou
francisco rivera
francisco trevino
francisco trinaldo
frank camacho
frank mir
frankie edgar
frankie perez
frankie saenz
fredy serrano
gabriel benitez
gabriel gonzaga
gadzhimurad antigulov
galore bofando
garett whiteley
garreth mclellan
gasan umalatov
gavin tucker
geane herrera
gegard mousasi
geoff neal
george roop
george sullivan
georges st-pierre
gerald meerschaert
germaine de randamie
gian villante
gilbert burns
gilbert melendez
gillian robertson
gina mazany
glaico franca
glaico franca moreira
gleison tibau
glover teixeira
godofredo pepey
gokhan saki
gray maynard
greg rebello
gregor gillespie
guido cannetti
guilherme vasconcelos
gunnar nelson
guto inocente
hacran dias
hakeem dawodu
hans stringer
hatsu hioki
hayder hassan
heather jo clark
hector aldana
hector lombard
hector sandoval
hector urbina
henrique da silva
henry briones
henry cejudo
hernani perpetuo
holly holm
horacio gutierrez
hu yaozong
hugo viana
humberto bandenay
humberto brown morrison
hyun gyu lim
ian entwistle
ian mccall
igor araujo
igor pokrajac
ildemar alcantara
ilir latifi
ion cutelaba
irene aldana
isaac vallie-flagg
islam makhachev
israel adesanya
iuri alcantara
ivan jorge
ivan menjivar
izabela badurek
jacare souza
jack hermansson
jack marshman
jack may
jake collier
jake ellenberger
jake lindsey
jake matthews
jake shields
jalin turner
jamelle jones
james bochnovic
james gray
james krause
james moontasri
james mulheron
james te huna
james vick
jamie moyle
jamie pickett
jamie varner
jan blachowicz
jared cannonier
jared gordon
jared rosholt
jarjis danho
jarred brooks
jason gonzalez
jason high
jason jackson
jason knight
jason novelli
jason saggo
jay cucciniello
jc cottrell
jenel lausa
jennifer maia
jeremy kennedy
jeremy kimball
jeremy stephens
jerrod sanders
jessamyn duke
jesse ronson
jesse taylor
jessica aguilar
jessica andrade
jessica eye
jessica penne
jessica rakoczy
jessica-rose clark
jessin ayari
ji yeon kim
jianping yang
jim alers
jim miller
jimi manuwa
jimmie rivera
jimmy wallhead
jimy hettes
jin soo son
jj aldrich
joachim christensen
joanna jedrzejczyk
joanne calderwood
joaquim silva
joby sanchez
jocelyn jones-lybarger
jodie esquibel
joe duffy
joe ellenberger
joe giannetti
joe gigliotti
joe lauzon
joe merritt
joe proctor
joe riggs
joe soto
joey gomez
john castaneda
john dodson
john gunther
john hathaway
john howard
john lineker
john makdessi
john moraga
john phillips
johnny bedford
johnny case
johnny eduardo
johny hendricks
jon delos reyes
jon jones
jon tuck
jonathan meunier
jonathan wilson
jonavin webb
jordan espinosa
jordan johnson
jordan mein
jordan rinaldi
jorge de oliveira
jorge masvidal
jose aldo
jose flores
jose quinonez
jose torres
joseph benavidez
joseph morales
josh barnett
josh copeland
josh emmett
josh koscheck
josh samman
josh sampo
josh shockley
josh stansbury
josh thomson
joshua burkman
joshua sampo
jp buys
juan puig
julian erosa
julian marquez
juliana lima
julianna pena
julio arce
jumabieke tuerxun
junior albini
junior dos santos
junior hernandez
jussier formiga
justin edwards
justin gaethje
justin jones
justin ledet
justin salas
justin scoggins
justin willis
justine kish
kailin curran
kajan johnson
kalindra faria
kamaru usman
karine gevorgyan
karl roberson
karolina kowalkiewicz
katlyn chookagian
katsunori kikuno
kazuki tokudome
keita nakamura
keith berish
kelly faszholz
kelly mcgill
kelvin gastelum
kennedy nzechukwu
kenny robertson
ketlen vieira
kevin casey
kevin gray
kevin holland
kevin lee
kevin souza
khabib nurmagomedov
khalid murtazaliev
khalid taha
khalil rountree
khalil rountree jr.
kiichi kunimoto
kj noons
konstantin erokhin
krzysztof jotko
kurt holobaugh
kwan ho kwak
kyle bochniak
kyle kingsbury
kyle noke
kyle stewart
kyler phillips
kyoji horiguchi
kyung ho kang
lance benoist
lando vannata
larissa pacheco
lauren mueller
lauren murphy
lazar stojadinovic
leandro issa
leandro silva
leo kuntz
leon edwards
leonardo augusto leleco
leonardo mafra
leonardo morales
leonardo santos
leslie smith
levan makashvili
lewis gonzalez
li jingliang
lina lansberg
lipeng zhang
lisa ellis
livinha souza
liz carmouche
lorenz larkin
louis gaudinot
louis smolka
luan chagas
lucas martins
lucie pudilova
luigi vendramini
luis gomez alvarez
luis henrique
luis pena
luiz dutra
lukasz sajewski
luke barnatt
luke jumeau
luke rockhold
luke sanders
luke zachrich
lyman good
lyoto machida
mackenzie dern
mads burnell
magnus cedenblad
magomed ankalaev
magomed bibulatov
magomed mustafaev
maia stevenson
mairbek taisumov
makwan amirkhani
manny bermudez
manny vazquez
manvel gamburyan
mara romero borella
marc diakiese
marcel fortuna
marcelo golm
marcelo guimaraes
marcin bandel
marcin held
marcin prachnio
marcin tybura
marcin wrzosek
marcio alexandre
marcio alexandre junior
marco beltran
marcos rogerio de lima
marcus brimage
marion reneau
mark bocek
mark cherico
mark de la rosa
mark eddiva
mark godbeer
mark hunt
mark munoz
markus perez
marlon moraes
marlon vera
martin bravo
martin svensson
marvin vettori
maryna moroz
masanori kanehara
masio fullen
matheus nicolau
mats nilsson
matt bessette
matt brown
matt dwyer
matt frevola
matt hobar
matt mitrione
matt sayles
matt schnell
matt van buren
matt wiman
matthew lopez
mauricio rua
max griffin
max holloway
maximo blanco
mayra bueno silva
megan anderson
mehdi baghdad
melinda fabian
melvin guillard
merab dvalishvili
michael bisping
michael chiesa
michael cora
michael graves
michael johnson
michael mcbride
michael mcdonald
michael trizano
michal oleksiejczuk
michel prazeres
michel quinones
michelle waterson
michinori tanaka
mickael lebout
mickey gall
miesha tate
mike de la torre
mike easton
mike jackson
mike king
mike perry
mike pierce
mike pyle
mike rhodes
mike rio
mike rodriguez
mike santiago
mike swick
mike wilkinson
milana dudieva
minotauro nogueira
mirko cro cop
mirsad bektic
misha cirkunov
mitch clarke
mitch gagnon
mizuto hirota
molly mccann
montana de la rosa
montel jackson
muslim salikhov
myles jury
nad narimani
nadia kassem
nam phan
naoki inoue
naoyuki kotani
nasrat haqparast
nate diaz
nate marquardt
nathan coy
nathaniel wood
nazareno malegarie
neil magny
neil seery
nicco montano
nick catone
nick hein
nick roehrick
nick urso
nico musoke
nicolas dalby
nik lentz
nikita krylov
niklas backstrom
niko price
nina ansaroff
ning guangyou
noad lahat
nolan ticman
nordine taleb
norman parke
oliver enkamp
olivier aubin-mercier
oluwale bamgbose
omari akhmedov
oskar piechota
ovince saint preux
paddy holohan
paige vanzant
pat healy
patrick cote
patrick cummins
patrick holohan
patrick walsh
patrick williams
paul craig
paul felder
paul redmond
paulo borrachinha
paulo costa
paulo thiago
pawel pawlak
pearl gonzalez
pedro munhoz
peter petties
peter sobotta
petr yan
phil davis
phil harris
phil hawes
phillipe nover
piotr hallmann
poliana botelho
polo reyes
polyana viana
priscila cachoeira
quinn mulhern
rachael ostovich
rafael dos anjos
rafael feijao
rafael natal
rafaello oliveira
ramazan emeev
rampage jackson
ramsey nijem
randa markos
randy brown
rani yahya
raoni barcelos
raphael assuncao
raquel pennington
rashad coulter
rashad evans
rashid magomedov
ray borg
reginaldo vieira
renan barao
renato moicano
renee forte
reza madadi
ricardo abreu
ricardo lamas
ricardo ramos
richard walsh
richardson moreira
richie smullen
richie vaculik
rick glenn
rick story
ricky rainey
ricky simon
ricky turcios
rin nakai
roan carneiro
rob font
rob whiteford
rob wilkinson
robbie lawler
robert peralta
robert whittaker
roberto sanchez
rocky lee
rodolfo rubio
rodrigo damm
rodrigo de lima
roger narvaez
roger zapata
rogerio nogueira
roland delorme
rolando dy
roldan sangcha-an
roman salazar
ron stallings
ronaldo candido de oliveira
ronda rousey
ronny markes
rony jason
rory macdonald
rose namajunas
ross pearson
roxanne modafferi
roy nelson
royston wee
ruan potts
ruon potts
ruslan magomedov
russell doane
rustam khabilov
ryan bader
ryan benoit
ryan hall
ryan janes
ryan jimmo
ryan laflare
ryan spann
sabah homasi
sage northcutt
sai wang
said nurmagomedov
salim touahri
sam alvey
sam sicilia
sam stout
santiago ponzinibbio
saparbeg safarov
sara mcmann
sarah kaufman
sarah moras
scott askham
scott holtzman
scott jorgensen
sean o'connell
sean o'malley
sean soriano
sean spencer
sean strickland
seohee ham
sergio moraes
sergio pettis
seth baczynski
shamil abdurakhimov
shana dobson
shane burgos
shane campbell
shane howell
shane young
shawn jordan
shayna baszler
sheldon westcott
shelton graves
sheymon moraes
shinsho anzai
shunichi shimizu
sidney outlaw
sijara eubanks
sirwan kakai
siyar bahadurzada
soa palelei
song kenan
song yadong
stanislav nedkov
stefan sekulic
stefan struve
stephen thompson
steve bosse
steve kennedy
steve montgomery
steven peterson
steven siler
stevie ray
stipe miocic
sultan aliev
syuri kondo
t.j. dillashaw
tae hyun bang
tai tuivasa
takanori gomi
takenori sato
takeya mizugaki
talita bernardo
tamdan mccrory
tarec saffiedine
tateki matsuda
tatiana suarez
tatsuya kawajiri
taylor lapilus
tecia torres
teemu packalen
terrion ware
teruto ishihara
thales leites
thanh le
thiago alves
thiago perpetuo
thiago santos
thiago tavares
thibault gouti
thomas almeida
tiago trator
tim boetsch
tim elliott
tim gorman
tim johnson
tim kennedy
tim means
tim williams
tina lahdemaki
tj dillashaw
tj waldburger
todd duffee
tom breese
tom duquesnoy
tom gallicchio
tom lawlor
tom niinimaki
tom watson
tony ferguson
tony martin
tony sims
tonya evinger
tor troeng
travis browne
trevin giles
trevor smith
tyler diamond
tyron woodley
tyson pedro
ulka sasaki
uriah hall
urijah faber
vagner rocha
valentina shevchenko
valerie letourneau
valmir lazaro
vaughan lee
vernon ramos
veronica macedo
vicente luque
vik grujic
viktor pesta
vinc pichel
viscardi andrade
vitor belfort
vitor miranda
viviane pereira
volkan oezdemir
wagner silva
walt harris
wang guan
warlley alves
weili zhang
wendell oliveira
will brooks
will campuzano
will chope
william patolino
willie gates
wilson reis
wu yanan
wuliji buren
yair rodriguez
yan cabral
yan xiaonan
yana kunitskaya
yancy medeiros
yao zhikui
yaotzin meza
yoel romero
yosdenis cedeno
yoshihiro akiyama
yui chul nam
yushin okami
yusuke kasuya
yuta sasaki
yves edwards
yves jabouin
zabit magomedsharipov
zach makovsky
zak cummings
zak ottow
zhang lipeng
zu anyanwu
zubaira tukhugov
