Fighters
Daniel Kelly
Marcus Brimage
Al Iaquinta
Stefan Struve
Stipe Miocic
Nate Diaz
Bryan Barberena
Willie Gates
Ben Saunders
Igor Pokrajac
Mitch Gagnon
Antonio Dos Santos
Renato Moicano
Ulka Sasaki
Lisa Ellis
Angela Magana
Seohee Ham
Heather Jo Clark
Alex Chambers
Angela Hill
Rose Namajunas
Randa Markos
Dennis Siver
Benson Henderson
Ron Stallings
Gleison Tibau
Chris Wade
Frankie Perez
Nick Diaz
Thiago Alves
John Lineker
Cat Zingano
Josh Koscheck
Holly Holm
Roan Carneiro
Ruan Potts
Alex Torres
Cole Miller
Brandon Thatch
Patrick Walsh
Sultan Aliev
Konstantin Erokhin
Anthony Christodoulou
Stanislav Nedkov
Ryan Bader
Paul Redmond
Makwan Amirkhani
Chris Beal
Frank Mir
Michael Johnson
Matt Dwyer
Henry Cejudo
Ryan Benoit
Sam Stout
Joe Duffy
Germaine de Randamie
Luke Rockhold
Paige VanZant
Kyoji Horiguchi
Joe Riggs
David Michaud
Valerie Letourneau
Shane Campbell
Sarah Kaufman
Aisling Daly
Tim Johnson
Alex Oliveira
Leandro Silva
Matt Mitrione
Jake Collier
Norifumi Yamamoto
Cody Pfister
Fredy Serrano
Mirko Cro Cop
Sheldon Westcott
Garreth McLellan
Mickael Lebout
Stevie Ray
Maryna Moroz
Rocky Lee
Yao Zhikui
Kajan Johnson
Jon Tuck
Dhiego Lima
Levan Makashvili
Luke Barnatt
Anthony Birchak
Robert Whittaker
James Vick
Bradley Scott
Jonavin Webb
Vitor Belfort
John Makdessi
Leo Kuntz
Fabricio Werdum
Rory MacDonald
John Howard
Henry Briones
Thomas Almeida
Minotauro Nogueira
Soa Palelei
Nordine Taleb
Jessica Aguilar
Fernando Bruno
Dileno Lopes
Ericka Almeida
Darren Till
Nicolas Dalby
Tom Breese
Mirsad Bektic
Lukasz Sajewski
Magomed Mustafaev
Arnold Allen
Masio Fullen
Jessica Penne
Steve Kennedy
Tony Ferguson
Todd Duffee
Manvel Gamburyan
Lyman Good
Sarah Moras
Renan Barao
Tom Lawlor
Andrew Holbrook
Dominique Steele
Steve Bosse
Joe Merritt
Lewis Gonzalez
Tony Sims
Sirwan Kakai
Cezar Ferreira
Dominic Waters
Hayder Hassan
Vicente Luque
Caio Magalhaes
Cortney Casey
Chris de la Rocha
Teemu Packalen
Jimmie Rivera
Jonathan Wilson
Scott Holtzman
Geane Herrera
Oluwale Bamgbose
Felipe Arantes
Daniel Jolly
Uriah Hall
Roger Zapata
George Roop
Yusuke Kasuya
Teruto Ishihara
John Dodson
Nazareno Malegarie
Corey Anderson
Tiago Trator
Raquel Pennington
Rashad Evans
Alexander Gustafsson
Julianna Pena
Viktor Pesta
Islam Makhachev
Sage Northcutt
Reza Madadi
Diego Sanchez
Taylor Lapilus
Bartosz Fabinski
Michel Prazeres
Enrique Marin
Alvaro Herrera
Enrique Barzola
Polo Reyes
Thiago Tavares
Matheus Nicolau
Donald Cerrone
Tamdan McCrory
Valentina Shevchenko
Luis Henrique
Karolina Kowalkiewicz
Antonio Silva
Peter Sobotta
Steve Montgomery
Anton Zafir
Alexandra Albu
Ben Nguyen
Cathal Pendred
Michelle Waterson
Marcio Alexandre Junior
Gunnar Nelson
Jocelyn Jones-Lybarger
Carlos Condit
Edgar Garcia
Alex Morono
Alberto Mina
Marco Beltran
Mike Pierce
Ryan Hall
Marcin Wrzosek
Abner Lloveras
Kevin Casey
Sergio Moraes
Andreas Stahl
Nathan Coy
Phillipe Nover
Emily Peters Kagan
Ed Herman
Kyle Bochniak
Mehdi Baghdad
Elvis Mutapcic
Joey Gomez
Luke Sanders
Felipe Olivieri
Randy Brown
Keita Nakamura
Brad Pickett
Thibault Gouti
Martin Svensson
Damian Grabowski
Alex Nicholson
Diego Rivas
Mike Jackson
Augusto Mendes
Kelly Faszholz
Shamil Abdurakhimov
Leonardo Augusto Leleco
Viscardi Andrade
Damien Brown
Miesha Tate
Justin Salas
Siyar Bahadurzada
Marcelo Guimaraes
Curtis Blaydes
Marcin Tybura
Bojan Velickovic
Damir Hadzovic
Cristina Stanciu
Alejandro Perez
Damian Stasiak
Cyril Asker
Tecia Torres
Santiago Ponzinibbio
Michael Graves
Darrell Horcher
Juliana Lima
Cody East
Josh Emmett
Anna Elmose
Francimar Barroso
Henrique da Silva
Clay Guida
Patrick Cote
Jonathan Meunier
Ion Cutelaba
Joanne Calderwood
Claudia Gadelha
Anthony Smith
Will Brooks
Josh Stansbury
Amanda Cooper
Khalil Rountree
Vitor Miranda
Jordan Rinaldi
Adam Milstead
Alberto Uda
Frankie Edgar
Joe Lauzon
Raphael Assuncao
Anderson Silva
Dmitrii Smoliakov
Bojan Mihajlovic
Eddie Wineland
Godofredo Pepey
JC Cottrell
Jason Knight
Belal Muhammad
Reginaldo Vieira
Lando Vannata
Matthew Lopez
Katlyn Chookagian
Erik Perez
Dominick Cruz
Jarjis Danho
Chad Laprise
Junior Dos Santos
Luan Chagas
Daniel Spitz
Kennedy Nzechukwu
Hector Sandoval
Josh Barnett
Jack Hermansson
Jimmy Wallhead
Christian Colombo
Veronica Macedo
Mickey Gall
Jason Gonzalez
Mike Perry
Marvin Vettori
Chris Avila
Sabah Homasi
Rony Jason
Joe Gigliotti
Justin Ledet
Jason Novelli
Horacio Gutierrez
Danielle Taylor
Alessio Di Chirico
Bec Rawlings
Felipe Silva
Alessandro Ricci
Rick Glenn
Albert Morales
Zak Ottow
Ketlen Vieira
Joachim Christensen
Elizeu Zaleski dos Santos
Lina Lansberg
Gregor Gillespie
Eric Spicely
Marcin Held
Max Griffin
Douglas Silva de Andrade
Claudio Puelles
Marc Diakiese
Mark Godbeer
Alexander Volkov
Jack Marshman
Kwan Ho Kwak
Kamaru Usman
Gadzhimurad Antigulov
Darren Stewart
Alexander Volkanovski
Jenel Lausa
Tyson Pedro
Ning Guangyou
Devin Clark
Jamie Moyle
Saparbeg Safarov
Gerald Meerschaert
JJ Aldrich
Ryan Janes
Brian Camozzi
Ashley Yoder
Shane Burgos
Misha Cirkunov
Anthony Pettis
Emil Meek
Paul Craig
Irene Aldana
Mizuto Hirota
Ronda Rousey
Niko Price
Drakkar Klose
Chase Sherman
Chan Sung Jung
Felice Herrig
Volkan Oezdemir
Chris Gruetzemacher
Khalil Rountree Jr.
Francis Ngannou
Jeremy Kimball
Jordan Johnson
Eric Shelton
Gina Mazany
Gavin Tucker
Darren Elkins
David Teymur
Cynthia Calvillo
Andre Soukhamthath
Jeremy Kennedy
Davi Ramos
Michael McBride
Brandon Moreno
Abdul Razak Alhassan
Matt Schnell
Viviane Pereira
Marcel Fortuna
Paulo Borrachinha
Lucie Pudilova
Desmond Green
Magomed Bibulatov
Pearl Gonzalez
Dustin Poirier
Yair Rodriguez
David Branch
Rashad Coulter
Artem Lobov
Cindy Dandois
Marcos Rogerio de Lima
Andrew Sanchez
Tom Duquesnoy
Deiveson Figueiredo
Brian Kelleher
Joaquim Silva
Jessin Ayari
Ashkan Mokhtarian
Chanmi Jeon
Rafael Dos Anjos
Frank Camacho
Rolando Dy
Justin Willis
Galore Bofando
Bobby Nash
Amanda Lemos
Daniel Teymur
Jon Jones
Jarred Brooks
Tonya Evinger
Calvin Kattar
Johny Hendricks
Justine Kish
Dominick Reyes
Michel Quinones
Eryk Anders
Junior Albini
Nick Roehrick
Justin Gaethje
Jesse Taylor
Tom Gallicchio
Terrion Ware
James Bochnovic
Alexa Grasso
Humberto Bandenay
Roberto Sanchez
Rani Yahya
Aleksandar Rakic
Talita Bernardo
Rob Wilkinson
Mads Burnell
Zabit Magomedsharipov
Arjan Bhullar
Ramazan Emeev
Jodie Esquibel
Aspen Ladd
Nasrat Haqparast
Kurt Holobaugh
Azunna Anyanwu
Ricky Turcios
Jamie Pickett
Angel De Anda
Alfred Khashakyan
Lazar Stojadinovic
Michael Cora
Casey Kenney
Karl Roberson
Jason Jackson
Chase Waldon
Alonzo Menifield
Luis Gomez Alvarez
Yushin Okami
Luke Jumeau
Jessica-Rose Clark
Shane Young
Nadia Kassem
Adam Wieczorek
Tai Tuivasa
Zu Anyanwu
Alex Reyes
Julian Marquez
Kyler Phillips
Carlos Candelario
Brandon Davis
Cheyden Leialoha
Jamelle Jones
Julio Arce
Kevin Gray
Donavon Frelow
Shelton Graves
Benito Lopez
JP Buys
Mike Santiago
Jordan Espinosa
Jose Flores
Elias Urbina
Allen Crowder
Adam Antolin
Kelly McGill
Cody Stamann
Marlon Moraes
Carls John De Tomas
Abdul-Kerim Edilov
Kalindra Faria
Yan Xiaonan
Sheymon Moraes
Bharat Kandare
Hu Yaozong
Ricardo Ramos
Paulo Costa
Georges St-Pierre
Jared Gordon
Danny Roberts
Brett Johns
Roxanne Modafferi
Melinda Fabian
Montana De La Rosa
Rachael Ostovich
Shana Dobson
Emily Whitmire
Jose Aldo
Carla Esparza
Michal Oleksiejczuk
Mark De La Rosa
Markus Perez
Trevin Giles
Alex Perez
Merab Dvalishvili
Gabriel Benitez
Alexandre Pantoja
Mara Romero Borella
Ji Yeon Kim
Cory Sandhagen
Joseph Morales
Priscila Cachoeira
Polyana Viana
Israel Adesanya
Daichi Abe
Mackenzie Dern
Yana Kunitskaya
Alexander Hernandez
Curtis Millender
Tim Williams
Marcin Prachnio
Manny Bermudez
Dmitry Sosnovskiy
Magomed Ankalaev
Oliver Enkamp
Hakeem Dawodu
Charles Byrd
Mike Rodriguez
Lauren Mueller
Ricky Rainey
Dan Moret
Ricky Simon
Dan Ige
Megan Anderson
Jose Torres
Nathaniel Wood
Chance Rencountre
Tatiana Suarez
Andrea Lee
Syuri Kondo
Poliana Botelho
Marcelo Golm
Weili Zhang
Abu Azaitar
Andre Ewell
Craig White
Carlo Pedersoli
Molly McCann
Wuliji Buren
Montel Jackson
Kevin Holland
Jake Matthews
Naoki Inoue
Song Yadong
Petr Yan
Hector Aldana
Barb Honchak
Steven Peterson
Martin Bravo
Richie Smullen
Oskar Piechota
Allan Zuniga
Joe Giannetti
Brad Katona
Bryce Mitchell
Jennifer Maia
Said Nurmagomedov
Blagoy Ivanov
Raoni Barcelos
Elias Garcia
Darko Stosic
David Zawada
Liu Pingyuan
Nad Narimani
Austin Arnett
Jin Soo Son
Stefan Sekulic
Luigi Vendramini
Ryan Spann
Gillian Robertson
Marina Rodriguez
Alton Cunningham
Ricky Palacios
Rilley Dutro
Jamie Colleen
Dom Pilarte
Josh Appelt
Jussier Formiga
Jalin Turner
